Date/Time,CONSTRUCTION IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,37357546522.6901,121225401.473328 
February,30083010374.3765,111845222.169105 
March,20319305033.7988,370760970.219869 
April,3951592691.86871,797685750.301178 
May,107083596.15171,1726522144.53132 
June,75694549.6653677,3011179636.26354 
July,85519443.6413095,7146340127.65486 
August,172218738.822262,4428649873.88409 
September,131550806.754138,2064151966.83589 
October,1439403680.72347,878994983.205043 
November,10871205557.4499,286959763.425698 
December,29831972315.2276,143271803.602848 
