Date/Time,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,2132884891.2,1929482874.6,1866274279.8,1786858353.,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,64107460334.3213,74943212.8784481,43554632002.3457,89973192.9739852,46118118167.6862,94765331.4708814,79676337686.9031,93235459.7529142 
February,1408417150.8,1268223729.,1183945602.6,1131271773.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,54509287854.5639,98688429.0693748,36733138786.4695,108558784.474979,38972634911.8057,113118504.074681,68745083818.2285,111471749.527309 
March,1089132710.4,914093524.800001,845212363.800001,798211101.,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,43754909195.8422,144185172.44504,29228139556.3021,247930091.94384,30374506500.7053,224856397.116732,55532195708.0725,124438498.640957 
April,614257882.8,436787597.4,383303401.8,349268004.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,18570761567.0306,334908530.95969,17907271527.1173,410881162.753368,15002094360.5412,401650442.731231,25044016228.7025,215215869.811213 
May,469202261.4,346836904.8,302266741.8,260127678.6,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,26782043279.0525,2224380623.90793,37807328190.0269,2138854829.4782,27638728602.2439,1934770091.85787,13379755103.2767,1331493239.15392 
June,336302139.,229333747.8,188815417.8,157211120.4,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,17763461982.8987,13933427043.6546,23729852246.0452,12594434034.7227,20871915457.4387,11500210051.3652,9550979714.13903,8724578581.10765 
July,164504419.8,106158024.6,86709226.2,73743360.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,3072545993.32471,23911202112.4189,4475631624.80748,21236405942.3301,4305269170.5869,19573673430.4577,4639626817.39837,15572853122.2256 
August,507289491.6,389786334.6,328198473.,294973442.4,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,7219221242.23586,10636680807.0864,10506573565.9609,9304638336.42229,8987991383.16656,8625672885.07459,5444702537.44092,6808519848.72394 
September,540514522.2,477305927.4,453805296.,424632098.4,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,15582003970.4034,6313755433.54439,28820021227.8904,5591889155.04284,20945539103.8389,5187742218.63455,7252027976.85951,4293970614.00065 
October,1243912731.,1065632079.,985405785.6,905989858.8,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,13460535595.9098,354829849.926238,14875715007.0682,462044199.187908,13196333502.1946,433468197.608842,16320943192.1757,233330766.382671 
November,2165299555.2,2018623200.6,1879240145.4,1811979717.6,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,32073758183.3627,117688829.294695,21332133412.1966,180057110.59797,22334907085.7307,165710696.340764,40344243016.5756,115336219.378354 
December,2455410798.,2341149107.4,2277130146.,2208248985.,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,57066510276.0883,107402061.998035,39041671936.8829,116707233.06869,41461065253.3958,120806109.618435,71529754540.9033,117374160.545358 
