Date/Time,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,4350812067.03381,4259217420.00804,4215593540.92811,4177841846.77774,1451562451.2,1451562451.2,1451562451.2,1451562451.2,11715817625.3338,614973018.236817,6649100237.3972,1107549656.64814,5501941645.60595,1257249070.18012,6496229882.63204,928485775.90712 
February,3411450137.03878,3333622225.57108,3299359461.37908,3272362053.98626,1311088665.6,1311088665.6,1311088665.6,1311088665.6,9699396097.95577,681789461.641543,5558574674.52711,1246959766.0003,4494636535.09898,1350490515.29187,5013188256.12064,945078766.990772 
March,3074182633.09997,2965457887.84791,2929580365.21072,2901034880.45058,1451562451.2,1451562451.2,1451562451.2,1451562451.2,7187282058.309,2164607768.93195,11162388446.7548,2992404316.28129,12649530181.5997,3261138025.45954,9063336691.49569,2631224828.75729 
April,2293809201.52407,2210524367.2547,2178126079.64639,2152078645.97979,1404737856.,1404737856.,1404737856.,1404737856.,17172967895.7921,4063763473.95064,33887334320.5253,4355157944.71407,32367491985.0421,4635085251.43268,22780924893.2422,4361410843.23318 
May,1715327871.25312,1618340442.82812,1579747108.71837,1551694603.13368,1451562451.2,1451562451.2,1451562451.2,1451562451.2,43161089451.1597,3321280237.25657,64120981289.51,3021060798.4892,60206271714.8648,3015757194.4109,41803132918.1634,3232604658.84909 
June,1507003068.21734,1440061140.94475,1407269483.51087,1384084749.01196,1404737856.,1404737856.,1404737856.,1404737856.,19825489521.4836,1381881831.74337,25833281384.2448,1256477483.36121,24402745525.0292,1266425228.31941,21350090584.8671,1309298997.60434 
July,1405898561.75481,1353293975.33942,1312065619.81919,1295503540.15704,1451562451.2,1451562451.2,1451562451.2,1451562451.2,4061974959.9021,1679074431.00526,5062385646.00183,1742572891.31834,4882685036.07278,1779421928.809,4922042367.72092,1762057273.93593 
August,1961772846.31561,1895382390.88319,1868003254.36665,1847211702.31609,1451562451.2,1451562451.2,1451562451.2,1451562451.2,8471299690.34256,1417178071.80863,11945847059.3555,1363944645.5904,10976919695.9889,1403271389.11606,9686659844.50215,1423272707.39403 
September,2496691666.65058,2451315236.85275,2431110274.49063,2414715680.51557,1404737856.,1404737856.,1404737856.,1404737856.,27083882208.67,2890228905.54773,40534962275.2573,2610750903.85644,42643109559.1075,2560808661.46721,36416108811.1586,2677456487.00216 
October,3519858734.28302,3432098477.84259,3385983963.263,3354315317.29025,1451562451.2,1451562451.2,1451562451.2,1451562451.2,14232736850.7568,4102382213.15438,28044124391.5838,4073856777.15919,27914895603.2598,4132656386.00384,19093575136.302,4094218478.42873 
November,4209680909.22461,4064350601.89312,3980051336.1725,3933190609.1364,1404737856.,1404737856.,1404737856.,1404737856.,3676572927.20416,2282558698.15046,7007747028.90173,3227723690.08159,5779726486.43505,3615958689.31137,4235156836.4857,3011758056.92618 
December,4910843259.28465,4774255371.26137,4708904198.48867,4650423589.24078,1451562451.2,1451562451.2,1451562451.2,1451562451.2,9593360119.85904,690956155.149005,5357749473.57345,1167728245.39577,4332357034.74249,1296936883.06984,4927772446.2163,1024108917.75104 
