Date/Time,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,2132884891.2,1929482874.6,1866274279.8,1786858353.,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,125320220124.044,2.245418545498978E-003,52391337633.6245,1.021128628053702E-003,48008026727.6358,9.689371609056252E-004,80119284569.3825,1.545716258988250E-003 
February,1408417150.8,1268223729.,1183945602.6,1131271773.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,105904897788.908,1.981517925742082E-003,44195518946.6964,8.702077138877939E-004,40601761191.6188,8.414608146267710E-004,69142811760.6364,1.306720696447883E-003 
March,1089132710.4,914093524.800001,845212363.800001,798211101.,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,85031473766.8805,1.702090043555951E-003,36417037358.5993,7.737046326131544E-004,32243253668.358,18223.5469945593,55872995626.3735,62.8312252056847 
April,614257882.8,436787597.4,383303401.8,349268004.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,39892122562.2937,75869050.367081,22677215345.8002,75083229.7760956,19268384032.7533,74720943.3971417,25263619185.7512,62712390.8732182 
May,469202261.4,346836904.8,302266741.8,260127678.6,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,25337945135.3774,2912218223.21326,37924124514.1657,1796366748.71778,30595908325.8275,1531806644.62793,13975561219.2142,1042912377.26855 
June,336302139.,229333747.8,188815417.8,157211120.4,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,13487411135.0609,18024627404.1995,22890859975.9927,12560108088.7508,18976521026.9995,11189217511.264,9541621542.65943,8540751447.33724 
July,164504419.8,106158024.6,86709226.2,73743360.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,2782919536.52622,32846029569.4255,3808509900.24813,21909423626.8751,3801143720.60396,19760917274.7321,4506099514.52977,15636113713.7741 
August,507289491.6,389786334.6,328198473.,294973442.4,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,5545837355.96339,16821072397.6165,9561888815.68966,9669617133.44457,8346747824.30392,8690169644.10387,4997989448.25908,6763361304.88707 
September,540514522.2,477305927.4,453805296.,424632098.4,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,14279939118.5311,6996592618.87032,30125657878.3883,5238633867.52895,24118857211.5673,4859762158.1341,8108779331.43571,3997052915.79133 
October,1243912731.,1065632079.,985405785.6,905989858.8,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,26228519351.3598,18926827.7834022,19375034873.8084,21715971.2273484,17429608496.5953,18198880.8215794,17112032145.2029,12777338.1800326 
November,2165299555.2,2018623200.6,1879240145.4,1811979717.6,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,67367507786.9669,108.85414535262,26127799722.0456,13158.224279596,23649745683.1236,21875.6196352949,40671730336.5345,132.444664055648 
December,2455410798.,2341149107.4,2277130146.,2208248985.,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,112228302163.421,2.207228499173652E-003,47087705673.0466,9.969925940822577E-004,43198381258.5328,8.957626960182097E-004,71938551996.3475,1.389134286000626E-003 
