,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly)  IN [kWh] IGNORE OTHER UNITS,TOTAL [kWh],DELTA [kWh] (compared to use case 1)
use case 1,3646.453769563452,3200.973677584561,2994.5536450708446,2834.0547539233203,11130.659924567084,11130.659924567084,11130.659924567084,11130.659924567084,173170.02307836103,21582.21048972985,97940.41980545294,14242.04777562311,86178.00585406477,12812.556154143142,111459.52407915003,10015.547258012539,584599.0100389479,0.0
use case 2,4200.658916835831,3692.374910929645,3439.808633415588,3244.418678975124,11130.659924567084,11130.659924567084,11130.659924567084,11130.659924567084,165062.50323395626,19795.708211575795,89229.30418098121,12544.87041665318,77813.60198934635,11051.794310767671,105326.61616878303,8561.858573527566,548486.1579240157,-36112.85211493226
use case 3,9358.666092129553,9116.524159385373,8999.947225107904,8914.146495374449,4747.531659949441,4747.531659949441,4747.531659949441,4747.531659949441,57507.484937942834,6407.097958410269,68976.59686645606,6801.084699185604,66116.14825032577,7083.066641805659,58167.65196740388,6907.7526206632065,333346.2945539883,-251252.7154849596
use case 4,9682.669392868893,9388.386089412043,9248.905847875465,9148.53352601497,4747.531659949441,4747.531659949441,4747.531659949441,4747.531659949441,48856.46568381219,7025.243497769582,68101.78820651186,7824.003457886916,65598.38895037092,8215.39884012934,51608.25138184891,7611.443055718391,321299.60457001725,-263299.40546893066
use case 5,3646.453769563452,3200.973677584561,2994.5536450708446,2834.0547539233203,11130.659924567084,11130.659924567084,11130.659924567084,11130.659924567084,171999.7416929901,22101.666949956147,94405.94901183664,14924.292292479313,82412.57691277273,13501.672570524825,110503.08074751326,10519.876514954829,577567.5322374384,-7031.477801509551
use case 6,4200.658916835831,3692.374910929645,3439.808633415588,3244.418678975124,11130.659924567084,11130.659924567084,11130.659924567084,11130.659924567084,165147.25037020067,20297.969495537032,83428.04935959307,13208.683422502974,73317.59607675516,11715.510204530805,104089.2454984561,9061.477326888666,539365.682592889,-45233.327446058975
use case 7,3646.453769563452,3200.973677584561,2994.5536450708446,2834.0547539233203,11130.659924567084,11130.659924567084,11130.659924567084,11130.659924567084,98323.70310417496,16181.266145533498,85559.60366110719,14578.553869997068,80614.28477004514,13438.008713307318,110406.34611611292,10483.922239943215,486784.3641646319,-97814.64587431605
use case 8,4200.658916835831,3692.374910929645,3439.808633415588,3244.418678975124,11130.659924567084,11130.659924567084,11130.659924567084,11130.659924567084,88348.50328374062,14409.78382178055,76322.21487350359,12864.420865766957,72813.86200019426,11655.502610898966,103525.24872687507,9064.806951763036,448104.2439729476,-136494.76606600033
