Date/Time,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,2391391836.6,2162868455.4,2036451265.8,1952983506.,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,118902372285.069,2.207981560786720E-003,44828997521.3688,9.005569154396653E-004,40520285160.9914,8.299651653942419E-004,74046198947.3018,1.413684913131874E-003 
February,1551041672.4,1421383016.4,1334673790.2,1273085928.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,100620473204.519,1.902035546663683E-003,38046222728.5601,7.851891041354975E-004,34521655652.5596,7.034770078462316E-004,64285067549.8971,1.183321728603914E-003 
March,1296586560.,1108581508.8,1010527150.2,936783789.600001,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,80949472746.7753,1.636166623200097E-003,31294673893.85,6.887939217310628E-004,28365964590.1059,6.93856408150351,52754543913.1883,74.3579969167495 
April,790917801.6,599671284.,524307190.2,469202261.4,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,37809076999.0139,15879327.6627738,18576362974.9659,14317828.6087332,17164759780.0691,37743469.7825381,24982864091.6134,11583421.0497964 
May,634517047.800001,476495560.8,420580265.4,361423503.6,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,25383016872.559,2568005992.56684,37839227217.421,1437311393.98122,28821669979.3219,1189312236.44727,14557249496.6536,784202842.604872 
June,472443727.8,346026538.2,293352709.2,243920346.6,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,13057093189.0984,16921222072.322,23859027519.3284,11619169721.5217,20636486910.812,10221199766.8983,9295947394.30755,7548717565.52695 
July,239868513.6,166935519.6,132900122.4,102106191.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,3007186381.22973,30105688635.0085,4115877917.88059,19194909911.0228,4216015446.2776,16879436342.3259,4843692495.03596,13468032062.8417 
August,621551182.2,517013890.8,459477862.2,416528432.4,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,5410548919.70084,15028036986.796,10474962515.8465,7966000171.79064,8707264876.76664,6977986619.7259,5322888132.98863,5439004142.53431 
September,641810347.2,551049288.,511341324.6,491082159.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,13672797609.5232,6601617406.57344,31405054971.8833,4899148328.198,25495358830.4566,4453954874.58985,8662214489.93597,3555833259.18288 
October,1493505643.8,1279568861.4,1173410836.8,1085080877.4,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,24965131092.8649,23528857.3897606,18303438731.1263,30305199.2099846,15139094940.3477,26504804.0175,16365605330.2488,15070242.8284341 
November,2346011307.,2185558720.2,2069676296.4,1987829269.8,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,64112178411.8352,171.510167354573,22422340191.3217,9656.23748242368,20358930579.0126,3108.90564024825,37842442789.9372,674.21410237274 
December,2642605482.60001,2477290696.2,2416513201.2,2359787539.2,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,106330910167.991,2.046647932729684E-003,40056739084.5776,8.298489319713553E-004,36179239401.1167,7.793632107677695E-004,66214070194.232,1.317161240876885E-003 
