Date/Time,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,2132884891.2,1929482874.6,1866274279.8,1786858353.,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,125341906085.787,76162963.8371737,52399132747.5177,87948748.6516258,48015379281.6229,94358370.9536618,80128300457.0649,93202146.0873091 
February,1408417150.8,1268223729.,1183945602.6,1131271773.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,105914953877.296,102659285.006933,44198414703.7341,108139222.617158,40604052640.2636,113057565.07428,69144205354.2646,111495315.004716 
March,1089132710.4,914093524.800001,845212363.800001,798211101.,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,85050733968.9312,138105338.669946,34753653271.1342,191203344.925156,31617665845.0163,210742550.348227,55917304829.8011,124777930.047189 
April,614257882.8,436787597.4,383303401.8,349268004.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,38706865096.2308,249773860.506833,17973952155.3029,373706068.543227,15739015657.208,396369635.457257,25279103161.1447,213991876.065511 
May,469202261.4,346836904.8,302266741.8,260127678.6,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,23972375497.6979,3199961852.34983,35123785314.1991,2165558134.13375,27170570898.8399,1908758714.83804,13248460056.9571,1317159676.55205 
June,336302139.,229333747.8,188815417.8,157211120.4,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,12554619734.3106,18208841292.7301,22440516398.0944,12779244244.1672,19018481281.0915,11347962674.4915,8684978362.86277,8704078034.53142 
July,164504419.8,106158024.6,86709226.2,73743360.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,2769786613.72677,32938958843.5894,3836709676.20341,22018128733.0609,3846636348.58348,19822384667.1368,4523454204.4117,15677395801.7156 
August,507289491.6,389786334.6,328198473.,294973442.4,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,5567028521.28163,16950489930.7401,9792669602.03943,9773903702.65542,8015339385.03744,8808109047.46852,5017086750.56348,6863917601.4221 
September,540514522.2,477305927.4,453805296.,424632098.4,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,13540170078.5833,7234037359.27025,31218584086.9525,5575045941.73647,22707552068.2811,5207256213.64908,6697833815.88215,4296196912.17434 
October,1243912731.,1065632079.,985405785.6,905989858.8,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,26110412707.8013,245825039.376446,14672865054.6752,401334465.4702,12992393059.3208,421459468.720531,16514667921.0836,235655637.183097 
November,2165299555.2,2018623200.6,1879240145.4,1811979717.6,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,67415982420.6224,111182594.967713,26353025163.0236,136513112.251202,23750580066.478,154427339.551864,40705518486.6351,115995733.657277 
December,2455410798.,2341149107.4,2277130146.,2208248985.,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,112249281939.563,109366135.881418,47095389400.1548,116296718.533711,43205236891.0114,120746161.140336,71946994827.1106,117385819.37689 
