Date/Time,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,2391391836.6,2162868455.4,2036451265.8,1952983506.,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,55815999344.9525,74848613.8787926,35468600010.2847,91407951.4336711,38436165159.0917,95646259.3696387,73533294982.8044,92733483.7339452 
February,1551041672.4,1421383016.4,1334673790.2,1273085928.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,47739389583.3515,97921113.8296618,30150914727.7565,108471414.93371,32732110306.7194,112834786.068302,63829192713.0835,110535380.121413 
March,1296586560.,1108581508.8,1010527150.2,936783789.600001,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,38629737122.0496,144210870.797207,24459369807.6421,239645039.159883,26013100290.7544,213116900.468281,52368201449.3025,122523376.237523 
April,790917801.6,599671284.,524307190.2,469202261.4,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,16373706082.8098,300047112.472342,13751723028.2132,391251695.680995,13239862307.8584,370135489.760139,24743019585.0622,154403326.901676 
May,634517047.800001,476495560.8,420580265.4,361423503.6,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,25027762477.6731,1845626361.6181,37919094112.3193,1796625809.97082,28040709159.2605,1594086429.1044,13127737361.1378,1056586317.42798 
June,472443727.8,346026538.2,293352709.2,243920346.6,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,17853479013.2816,12895635930.4895,23833143179.3267,11604210883.2954,20256390939.9678,10274524401.7297,9076587600.81678,7693645434.32711 
July,239868513.6,166935519.6,132900122.4,102106191.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,3698489029.4209,21167034775.4918,4926544179.79789,18534833465.3578,4801529031.61159,16803596186.5052,5227614094.0705,13551335735.7512 
August,621551182.2,517013890.8,459477862.2,416528432.4,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,7833190078.53142,8879690035.14935,10811334031.4167,7555788820.62087,9551200266.00109,6898973083.09931,5359052631.84314,5539868486.69791 
September,641810347.2,551049288.,511341324.6,491082159.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,15469111135.6534,5880662538.16872,29650198811.1602,5147415721.43103,22490975612.1078,4833681860.0778,6733904533.72348,3834178108.36844 
October,1493505643.8,1279568861.4,1173410836.8,1085080877.4,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,12417832810.3872,364535357.836568,14298311610.3495,508313354.56096,12974657953.727,462902223.535675,15482385223.2806,245234942.208277 
November,2346011307.,2185558720.2,2069676296.4,1987829269.8,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,27805428621.2911,117727962.816114,17970248606.3402,216693362.453433,19334254338.3966,179200884.316188,37469178529.523,115043009.364261 
December,2642605482.60001,2477290696.2,2416513201.2,2359787539.2,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,49387942105.5248,106866087.407748,31518293377.8021,116887105.505478,34256850812.7536,120775219.411861,65737745208.791,116956360.855486 
