Date/Time,CONSTRUCTION IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,69686480086.1094,345538012.689062 
February,59055679606.7146,313253262.496887 
March,48142608569.3409,392258566.028618 
April,22004635251.9975,415317007.462341 
May,5313719430.44046,1270201948.63874 
June,235327230.811055,2950973387.28146 
July,85519443.6413141,7146340127.65744 
August,235890790.412249,4379821752.97632 
September,3508934866.8233,1670817940.5174 
October,15483094202.344,526867215.809283 
November,37475906415.1974,361968227.65225 
December,62016894247.729,367874061.089316 
