Date/Time,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,4245939469.16976,4164264477.14528,4127129099.9789,4096599362.29225,1451562451.2,1451562451.2,1451562451.2,1451562451.2,21894732155.8096,576212148.639052,15536564188.9692,644511015.089691,14028162506.3442,678344806.487194,15231590203.9966,652507150.419609 
February,3323287969.38272,3263949370.99085,3235594768.94586,3212358348.2021,1311088665.6,1311088665.6,1311088665.6,1311088665.6,18117076840.7477,531974503.258067,12629601868.028,612755094.034867,11178965302.6714,645649713.381814,11805843324.2665,584798501.854037 
March,2976672489.87704,2889044159.55349,2857557932.3474,2832299794.02023,1451562451.2,1451562451.2,1451562451.2,1451562451.2,13203835480.8886,1444338642.52841,12243160778.82,1965923644.28222,13286577135.7355,2115790969.27547,12676014290.2569,1888713828.57716 
April,2207487383.62529,2139802098.76082,2112283337.87766,2090175374.52216,1404737856.,1404737856.,1404737856.,1404737856.,16407456862.5348,3148691081.1686,35588723716.5844,3404568446.26499,34666754969.3671,3621115700.82463,26674910534.9005,3582843775.34833 
May,1615591312.92299,1541314733.31706,1510239972.45905,1487818715.78849,1451562451.2,1451562451.2,1451562451.2,1451562451.2,42275427647.5233,3218760213.99299,50988291567.9369,3113842493.01669,51124287139.8403,3094650814.64574,39717799413.1244,3147024741.86355 
June,1433147699.91568,1373936218.39672,1344564876.44559,1322237441.03587,1404737856.,1404737856.,1404737856.,1404737856.,19153071316.699,1510468383.53787,24711722603.5341,1467219596.30516,22644131812.899,1524115956.32901,20209218513.0822,1532849300.04431 
July,1346369297.75226,1302921571.09047,1270883891.25065,1258077018.68309,1451562451.2,1451562451.2,1451562451.2,1451562451.2,4102027614.09095,2784085591.36617,4935710660.31813,2979160898.87249,4794801130.5741,3085658296.75556,4876615571.3354,3057592832.89429 
August,1884739578.63867,1837095053.44284,1814654559.04414,1797214335.15494,1451562451.2,1451562451.2,1451562451.2,1451562451.2,7714781480.9085,1856567494.26711,11345364609.8226,1981886950.03547,10429380847.7954,2063211191.76507,8668329084.25977,2063176349.38744 
September,2441366962.35674,2404740103.86614,2385533644.0471,2368904191.60078,1404737856.,1404737856.,1404737856.,1404737856.,24599964452.0862,3071718134.11457,37044032811.1177,2829059329.49359,36470623410.1683,2784346292.00143,32873923116.8057,2830132823.19893 
October,3418900333.9053,3344755925.69128,3308726652.85501,3282967158.05892,1451562451.2,1451562451.2,1451562451.2,1451562451.2,12614764817.8117,3112329051.99832,21638376773.4259,3152136891.04922,20653939903.9097,3274374492.07,17144833559.1604,3141312554.09151 
November,4045890941.16643,3933049648.11664,3868877437.8246,3830835323.48427,1404737856.,1404737856.,1404737856.,1404737856.,7758520776.85704,1216803847.8035,7993181432.53254,1703584981.30416,6431291871.22141,1952844371.7826,6299361391.60864,1749030832.55285 
December,4751534965.52627,4624351059.62039,4563504640.90598,4511183595.13965,1451562451.2,1451562451.2,1451562451.2,1451562451.2,19183630128.3202,593419034.657282,13659031198.0547,629059707.647243,12307313540.8098,658733314.494497,13223432864.882,637727802.471586 
